iteration,r1c1,r1c3,r1c4,r1c5,r1c6,r2c1,r2c2,r2c3,r2c4,r2c6,r3c1,r3c2,r3c3,r3c4,r3c5,r3c6,r4c1,r4c2,r4c3,r4c4,r4c5,r4c6,r5c1,r5c5,r5c6,r6c1,r6c2,r6c3,r6c4,r6c5,r6c6
1741,99.99999748305446,95.01954801150848,93.8377813350396,92.60539001518941,93.28379437003944,98.38057320063658,95.86766133700876,94.51647230731186,94.36726245379212,90.8737719649648,96.92204535476681,95.54897893848648,93.25605353970751,93.134101610118,93.05939870154573,91.74121395149926,95.51396278149015,94.40222798299769,93.17304532496753,91.07064971726449,91.76070484897693,91.83501798497967,94.26067144360444,89.4942081790374,90.50306418275156,92.87236501357783,91.65201130372093,90.44687397428619,89.25676329484442,88.49889784807233,89.22288312378353
1742,99.99999750822391,95.01954803667793,93.83778136020908,92.60539004035887,93.28379439520889,98.38057322580603,95.8676613621782,94.5164723324813,94.3672624789616,90.87377199013427,96.92204537993625,95.54897896365597,93.25605356487695,93.13410163528744,93.0593987267152,91.74121397666872,95.51396280665962,94.40222800816714,93.173045350137,91.07064974243396,91.76070487414638,91.83501801014913,94.26067146877388,89.49420820420684,90.50306420792101,92.87236503874729,91.65201132889038,90.44687399945565,89.25676332001386,88.4988978732418,89.22288314895297
1743,99.99999753314167,95.01954806159569,93.83778138512682,92.60539006527665,93.28379442012665,98.38057325072378,95.86766138709596,94.51647235739908,94.36726250387935,90.87377201505203,96.92204540485402,95.5489789885737,93.25605358979475,93.13410166020522,93.05939875163294,91.74121400158651,95.51396283157736,94.40222803308491,93.17304537505477,91.07064976735171,91.76070489906418,91.83501803506687,94.26067149369165,89.4942082291246,90.50306423283877,92.87236506366504,91.65201135380815,90.4468740243734,89.25676334493161,88.49889789815954,89.22288317387074
1744,99.99999755781025,95.01954808626428,93.8377814097954,92.60539008994522,93.28379444479523,98.38057327539236,95.86766141176454,94.51647238206768,94.36726252854794,90.87377203972062,96.9220454295226,95.54897901324229,93.2560536144633,93.13410168487378,93.05939877630155,91.74121402625508,95.51396285624595,94.40222805775348,93.17304539972336,91.07064979202032,91.76070492373275,91.8350180597355,94.26067151836023,89.4942082537932,90.50306425750733,92.87236508833364,91.65201137847673,90.446874049042,89.2567633696002,88.49889792282812,89.2228831985393
1745,99.99999758223214,95.01954811068619,93.8377814342173,92.60539011436711,93.28379446921713,98.38057329981426,95.86766143618644,94.51647240648956,94.36726255296985,90.8737720641425,96.92204545394449,95.5489790376642,93.25605363888522,93.1341017092957,93.05939880072341,91.741214050677,95.51396288066785,94.40222808217538,93.17304542414524,91.07064981644218,91.76070494815467,91.83501808415737,94.26067154278213,89.4942082782151,90.50306428192928,92.87236511275553,91.65201140289865,90.44687407346389,89.2567633940221,88.49889794725004,89.22288322296119
1746,99.99999760640982,95.01954813486385,93.83778145839501,92.6053901385448,93.2837944933948,98.38057332399194,95.8676614603641,94.51647243066724,94.36726257714753,90.8737720883202,96.92204547812216,95.54897906184188,93.25605366306289,93.13410173347339,93.05939882490112,91.74121407485464,95.51396290484553,94.40222810635306,93.17304544832292,91.07064984061988,91.7607049723323,91.83501810833508,94.2606715669598,89.49420830239279,90.50306430610694,92.87236513693321,91.65201142707632,90.44687409764158,89.25676341819978,88.49889797142771,89.22288324713891
1747,99.99999763034572,95.01954815879975,93.83778148233088,92.60539016248073,93.2837945173307,98.38057334792782,95.86766148430002,94.51647245460312,94.36726260108341,90.87377211225608,96.92204550205807,95.54897908577776,93.2560536869988,93.13410175740928,93.05939884883703,91.74121409879058,95.51396292878141,94.40222813028896,93.17304547225883,91.07064986455579,91.76070499626825,91.83501813227093,94.2606715908957,89.49420832632866,90.50306433004286,92.87236516086911,91.65201145101221,90.44687412157748,89.25676344213569,88.49889799536363,89.22288327107479
1748,99.99999765404226,95.0195481824963,93.83778150602743,92.60539018617726,93.28379454102725,98.38057337162438,95.86766150799653,94.51647247829966,94.36726262477995,90.87377213595262,96.9220455257546,95.54897910947432,93.25605371069533,93.13410178110581,93.05939887253358,91.74121412248712,95.51396295247797,94.40222815398549,93.17304549595538,91.07064988825233,91.76070501996479,91.83501815596752,94.26067161459223,89.49420835002523,90.50306435373936,92.87236518456564,91.65201147470876,90.44687414527402,89.25676346583224,88.49889801906014,89.22288329477136
1749,99.99999767750184,95.01954820595587,93.83778152948699,92.60539020963682,93.28379456448683,98.38057339508394,95.86766153145612,94.51647250175921,94.36726264823952,90.8737721594122,96.92204554921419,95.54897913293387,93.2560537341549,93.13410180456538,93.05939889599314,91.74121414594669,95.51396297593755,94.40222817744507,93.17304551941493,91.0706499117119,91.76070504342435,91.83501817942711,94.2606716380518,89.49420837348482,90.50306437719898,92.87236520802522,91.65201149816832,90.4468741687336,89.25676348929181,88.49889804251976,89.22288331823091
1750,99.99999770072682,95.01954822918084,93.83778155271197,92.6053902328618,93.2837945877118,98.38057341830893,95.8676615546811,94.51647252498421,94.36726267146449,90.87377218263718,96.92204557243916,95.54897915615888,93.25605375737986,93.13410182779035,93.05939891921811,91.74121416917166,95.51396299916253,94.40222820067007,93.1730455426399,91.07064993493687,91.76070506664932,91.83501820265208,94.26067166127679,89.49420839670978,90.50306440042397,92.8723652312502,91.65201152139329,90.44687419195857,89.2567635125168,88.49889806574474,89.22288334145591
